Genes	N.Sequences	N.Proteotypic.Sequences	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_159-73X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_036-41.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_008-47.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_032-19.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_020-38.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_098-25.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_080-42.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_064-26.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_030-45.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20220311_RDMitacsJFB_cal2a_004-6.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_173-80.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_181-84.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_165-76.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_157-73.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_195-91.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_035-14.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_007-3.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_003.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_013-5X.mzML	E:\Julia\MB_proteomicsWorkshop\RawFiles\20201016_UdSjfb_20190115_freshstool_019-8.mzML
BLMH	9	9	4476.09	2428.98	1071.53	1269.93	1124.91		4463.93	4211.14	5876.96	1333.39	3100.26	3422.24			35665.4	4618.22	4345.08	3642.84	1749.17	2938.76
BPI	4	4									33276.8	1072.54	2149.93						1694.43			
BST1	5	5	1599.94	2132.94	2920.23	6771.12	731.903		1251	2786.18	6211.52	3864.78	3455.11	1848.39		2285.7			1173.78			
C3	17	17			1482.85	3501.71	1551.11		9072	18059.5	49371.4	39062.9	1060.45						8301.41			1937.78
C4BPA	2	2							1672.41	12091.8	5777.61	6570.31							3588.11	2661.19		
C9	5	5								6702.16	5917.1	6971.11							10009.2			
CA1	7	7	29930.3	20605.6	64257.7	72033.7	60487.8	13481.8	288462	110291	401277	95219.4	21271.7	6389.88	15036	5275.82	16670	7380.23	35693.2	14111.2	30805.7	13445.5
CA2	2	2	1631.05	2260.64	4984.13	2798.91	1902.19	1204.87			21561.4	9256.17	1311.51	1614.68	5670.45	2508.72	4822.04		2105.15			
CA4	9	9	9339.84	1960.62	19970.5	3786.94	5130.47	5591.33	13034.7	7592.27	5704.02	6024.43	7828.57	11002.2	14588.2	8807.7	18051.1	3749.72	7777.3	7494.22	6885.55	4356.68
CALM1;CALM2;CALM3	4	0		2570.59	8765.31	3760.53	143.217				14125.7	737.17	3635.35		8387.39	1839.58	8075.57		436.955			
CALML5	2	2			906.199												36690.9					6690.88
CALR	10	10			1943.02				2592.29		55554.5	2382.41							8007.54			
CAMP	4	4									13863.8								1630.46			
CANX	2	2									12731.5								715.827			
CAP1	2	2			452.465						13274.6		497.118						1504.34			
CAPN1	7	7			4086.99	2525.77	1946.51		971.828		5771.82		1742.81			2542.88			5521.92			
CAPNS1;CAPNS2	2	0		5644.39	15735.2	14919.8	6306.77	9963.25	3157	9054.76	34875.5	4513.28	8274.9	5468.31	5991.91	9252.4	6566.49	2373.84	6629.65	5486.52	3197.89	2155.3
CAPZA2	1	1					797.297		1084.7		5847.68											
CASKIN2	1	1		28468.3	42698.9	73712	4786.38	19134.2	10982.6	102080	16123.6		6560.8	6613.27	32508.1	10733.3	21366.6		1480.4			19074
CASP14	4	4	3913.04	1836.8	1552.3					2177.49		1324.02	2592.25		6284.88		40421				2827.67	3940.54
CAT	15	15	695.619								5818.44	1610.6	2058.9				9452.73		5054.93			
CBLIF	3	3	23611.9	4166.28	1157.71			1102.15	2607.78		1307.66	5721.13	2900.65	3976.26				3822.4		3624.74	2404.51	
CD177	2	2			2569.78		2005.96		3212.5		7321.69		1702.59			11107.7	9541.36		4753.09			
CD36	1	1		1956.64							2504.76	1578.46	979.628				2484.58					
CD53	1	1									6181											
CD59	1	1					556.12				10661.1											
CD63	2	2		2956.92	5134.77	12413	5335.83	2535.27	5292.3		61301.3	2852.16				10417.8	22735.2					
CD9	2	2			2905.3	9759.63	691.457									4629.89	9470.5					
CDA	1	1																1106.45	1140.77			
CDH1	11	10	27636.1	10249.2	14154.9	22148	21111.2	33514	20262.4	21716	23267.7	5448.94	13835	32726.7	12120	17153.3	5065.53	36831	9298.41	48195.5	32280.3	25783.7
CDH17	5	5	6471.89	1892.97	14046.3						2609.14			3792.3		4239.01				5114.48		5141.6
CDHR2	27	27	182094	100417	42749.9	82121.7	88990.6	145830	62535.3	97980.4	120635	24495.7	91274.3	106327	107145	124892	150041	265454	27753.3	282095	170476	111752
CDHR5	10	10	22896.1	2695.62	5847.37	8686.89	6959.32	9974.92	4139.32		2067.76	2017.49	3337.26	2889.69	3071.36	6015.38	1193.15	15651.7	4435.76	13035.2	5819.69	5776.74
CEACAM1	7	6	10564.1	13189	51922.6	7193.13	19259.8	30036.5	49567.5	24937.3	35252.1	15011.9	13802.5	9165.31	22996.8	12488.9	15826.3	11525.5	8566.42	13350.9		11637.4
CEACAM5	12	9	255081	83434	713906	338678	275195	316633	1.04299e+06	226953	666129	143982	229195	327442	222305	393422	240771	254575	277050	188566	70316.5	127746
CEACAM6	4	4	9622.92	17968.5	28405.7	6014.97	17480.8	51086.8	35512.5	70020.1	99075.4	4169.58	7854.79	3942.87	3892.82	6808.48	4229.3	28121.5	17898.7	9734.17	3253.84	10875.5
CEACAM7	3	3	45306.4	9331.01	69013.6	12147.3		20522.2		8620.24	22975.5	3148.38	8426.01	12341.4		32423.2	42499.4	3640.44	13245.6	11518.5		12928.6
CEACAM8	4	4	1877.51	2413.2				4758.33	11672.6	39253.5	66645.2	9209.66	2454.73			1663.8		17571.7	17227.1	13887		7637.75
CEL	6	6	4080.43	3041.76	2616.04	7800.25				39890.5		14024.1	1048.94	2134.35		4187.35	19230.1					
CELA2A	17	14	6.46473e+06	2.82633e+06	949445	185455	1.56176e+06	7.43973e+06	4.76949e+06	190536	2.03161e+06	462763	130141	52236.8	2.7962e+06	108152	135833	73842.2	557977	235465	76937.6	706066
CELA3A	15	12	7.824e+06	4.39084e+06	3.72503e+06	2.79536e+06	3.45829e+06	7.40759e+06	3.23484e+06	4.11362e+06	3.09021e+06	163466	5.86248e+06	3.71917e+06	1.86783e+06	5.93212e+06	1.20354e+07	6.3221e+06	2.05076e+06	1.22751e+07	3.27016e+06	2.0812e+06
CELA3B	8	8	186183	475493	849615	123659	513016	1.24666e+06	230375	46037	402425	49179.8	229367	70099.1	565763	305557	177000	52531.8	238994	104731	30439.6	228785
CFTR	1	1		11892.9	6583.14	51192.6	13931.6		6844.25	16580.9	15014.2		7511.72	32810.1	36639.1	10310.5	33658.9		1302.27			
CHIT1	2	2								999.778	11898.1	3394.39							1461.32			
CKM	4	4	1162.14	27921.1		167903	42882.3	28141.7	58085.2	92279.3	43419.2	72567	24355.3		6512.54		12847	17667.5		10227.8	5644.57	
CKMT1A	5	4	4570.98	19153.2	15169.9	53385.3	4907.69	10621.2	13531.4	24571.8	10624.9	36790.4	22877.7	29503.3	31115.4	16559.9	66815.7	11071.5	4173.62	9907.27		7866.91
CLC	2	2			1603.58						12598.5								1914.89			
CLCA1	26	25	487778	113723	358653	305876	58500.9	29434.9	165971	625877	156263	475726	172936	118188	323705	176283	362546	24741.9	130561	83238.2	39066.8	352752
CLCA4	10	10	2231.91	2902.43	14040.1	12809	3140.13		4022.79	5445.68	2846.91	2455.26	6234.6	2442.9		7560.17	11875.5		2067.65			2767.16
CLDN3	2	1			1199.2								3478.69	9687.89		10811.9	42627.9					
CLDN7	1	1														2165.61	13125.1					
CLPS	6	6	290594	54438.6	5645.69	57473.4	1.12134e+06	81687.3	133132	287130	251367	65736.4	40359	33737.9		49042.5	107053	42967.8	6364.31	74458.6	21616.3	45358.7
CLU	1	1															18425.6					
COL1A1	6	6							15082.9		8894.28					4317.59						
COL1A2	1	1							6867.71		1443.06											
COL4A1;COL4A5	2	0							6988.69		2247.04											
CORO1A	2	1							1140.34	2620.81	139027	5154.31	607.624						6072.18			
COX6B1	1	1				1700.06	571.568		1954.12		1093.42		727.795									
CP	20	20			1507.74		2008.35		1212.02	40733.7	32733.5	16738.4	2029.39						13812.5			4115.14
CPA1	20	20	2.09351e+06	727440	298594	817232	3.42896e+06	1.75743e+07	5.6382e+06	3.51596e+06	5.75608e+06	1.80867e+06	253275	1.90971e+06	149440	1.4573e+06	158414	309392	485354	5.24517e+06	3.44509e+06	2.36997e+06
CPA2	14	13	8678.93	33785	10644.5	39271.4	14034.2	572449	31115.8	169648	126072	71569.7	12765.3	97503.1	13987.9	37590.3	11964.9	60861.3	8375.57	310169	132228	44391.4
CPA5	1	1	598.688			55046.2	2607.09	149093	57395.9	9413.94	15961.2	63294.7		61907.5		3112.95		2689.31		59468.4	30709.5	74662.9
CPAP	1	1		638.86		7019.29			5149.13	1081.58			381.536			1009.64						
CPB1	23	22	192838	325643	3.48632e+06	199915	72085.2	4.29579e+06	1.09705e+06	1.80573e+06	448363	384568	534957	436752	453977	205177	61504.3	353897	78321	490100	852462	697959
CPNE2	2	2									1375.78								2156.84			
CPNE3	9	8	2153.37	2558.02	2536.22	6962.09	1041.14	6312.23	2190.67	8005.5	25604.9	1244.26	4161.67	8706.41		4889.02	10365.5	18201.8	23276.1	18891.8	6200.64	
CPO	2	2		3461.72	1867.34	1013.42					1500.67			1179.58								
CPPED1	1	1									2814.96	269.793							416.454			
CPQ	2	2	290.026	1624.08	1182.8	1393.44	217.068		864.017	2073.73	417.258	869.73	2737.76	3288.89	3979.12	1664.03	2277.48					632.425
CPS1	1	1			4348.58												3807.07					
CRADD	1	1									8564.45		1111.64								27268.9	
CRISP3	1	1									846.333								91.149			
CRP	4	4							532.933			83433.2							1278.53			
CRYAB	1	1				12801.5																
CSN1S1	6	6	2121.43	20886.8	18660.9	16914.3	53607.9	36910.2	11232.7	29259.4	9976.79	4157.53	7764.63	949.08		2023.26	19692.2	14706.3				811.455
CSN1S2	3	3		6478.46	29332	5477.11	15518.5	15212.4	6804.14	8461.73	14910		25248.9			11441	19253.8	23354				
CSN2	3	3	780.13	21444.8	11673.8	22149.3	32410.4	45477.6	17546.7	35723.9	10569	8292.13						7400.65			1554.32	
CSN3	1	1		943.243	2390.73		1160.34	1485.11	404.725	1921.39	934.123											
CSTA	5	5	6740.19	2678.69	3073.5	7219.16	1769.32	4417.93	6181.35	28037.2	51901.2	18880	19802.3	10714.6	13998.3	3812.77	44357	6191.44	5917.59	21261.9	9252.07	11630
CSTB	2	2	2552.29		1601.2	2277.71			1483.3		6259.46	1056.68	2057.11				2533.7		2335.22			
CTBS	8	8	3805.16			2923.77				1781.18		2774.98	1335.82	2656.28					2363.19			
CTRB1	1	1							2506.4			351.124										
CTRB2	8	2	81927.3	691663	195664	376932	47745.8	264067	173050	1.36071e+06	56016.5	119747	71753.5	246146	189005	199036	161969	433626	16498	241658	38713.2	328199
CTRC	18	18	3.98364e+06	3.11414e+06	2.31804e+06	977953	2.23956e+06	6.78706e+06	2.1454e+06	4.61743e+06	1.95173e+06	412039	2.621e+06	934150	1.39448e+06	3.98417e+06	2.85067e+06	3.32264e+06	876448	3.32724e+06	2.24457e+06	803021
CTSC	5	5	1152.18	1403.54	4275.52				5976.6	13407.2	20337.9	1979.19	1711.16	1673.33		1182.21	2376.77		7179	1522.15	1440.48	
CTSD	5	5			9478.19	7069.55	1519.68		1646.41	5065.62	11435.6	5177.23	4529.98	2868.32	4226.48		4885.68	2025.46	1917.16			
CTSG	5	5		8520.35	16427.2	5086.34	2539.89	19530.7	23802.2	55870.9	712005	80262.7	11409.6			8997.35	19788.1	12863.6	25982.2			13216
CTSH	5	5	3954.16	1288.87	971.737		2116.09		5163.78	5840.95	7625.7	2812.64	2987.61	2741.38				3585.65	3190.49	1982.9	2688.6	2467.98
CTSS	2	2	1958.87	892.458	7709.74	3715.44	607.15		3290.35	4131.09	2665.6	1537.81	2277.37	6038.2					2125.63	2893.66	2241.21	
CUBN	4	4	4996.79	2014.38			1130.16												1054.77	1498.36		
CUZD1	12	12	102848	85971.5	149783	47457.9	37574.5	92909.4	49425.8	91621.5	37312.3	41007.9	64203.3	77443.1	97428.8	71664.8	301333	107879	15409.2	175342	79049.3	66199.2
CYBA	2	2									30697.5								2058.48			
CYBB	1	1									4858.71											
CYCS	3	3	815.316	1665.23	1383.58			3580.62	2688.39	1042.94	8481.69	4260.53	720.475									
CYRIB	1	1									346.201								104.03			
DBI	1	1					647.155				12310.4	1545.19							4098.79			
DCD	2	2	14673.3	17528.5	8969.98	6896.14	6986.59	35156.8	12920.1	14435.9	10059.4	12457.3	9652.54	13267.9	17988	16754.8	73805.2	8242.92	1826.96	9195.75	15991.8	10641.1
DEFA3	3	0	5135.16	150826	92380.9	528790	550194	100864	1.12888e+06	218153	726484	122886	238750	34323.5	8783.26	60204.2	99206.9	434700	63909	340155	40034.9	55118.7
DEFA4	1	1							981.656										1223.7			
DEFA5	1	1	1996.11	6741.02	1305.67	2836.68	1368.33	2601.21	11353.4		1177.07	2340.56	10231.4	12395.6	8394.55	6224.11	204231	8085.1	6548.17	2864.61	2962.59	5212.79
DHRS11	1	1			816.074					1114.23				1430.25					230.145			
DLD	6	6			1591.49					2148.44	1693.24	4570.45	2903.49	7967.26		2328.92			3650.78	5325.28		
DMBT1	21	21	1.0165e+06	131530	162970	161372	47529.9	107941	214576	185002	360099	112695	115795	51925.5	32950.2	68483.9	298039	104529	80822.7	151464	34650.2	124529
DNASE1	4	4	8294.15		1889.97	3532.92								3708.66		2225.27				2249.26		1710.07
DNASE2	2	2	3972.65						1738.96			540.286				969.526						
DPEP1	17	17	82023.3	157449	34812.9	146384	82997.9	105101	88321	57958	35742.4	21620	77386.9	124757	144693	94860.2	109053	85287.2	62219.4	177037	81959.2	49488.8
DPP4	32	32	46287.4	27366.7	39446	69171.5	35868.3	15654.3	25269.9	28322.4	7084.31	18196.4	30109.7	92615.2	12476.6	53295.9	14939.5	41654.9	11285.5	53258.9	15183.9	19663.5
DSC1	1	1															104936					
DSC2	1	1			5943.57																	
DSG1	6	6	1567.98	3311.78	3421.04		1523.61						2032.42				46087.3				6702.04	4919.83
DSP	4	4	1654.82		1452.71		478.715		617.838			531.475	2976.77				2936.09				5015.86	2010.26
EEF1A1;EEF1A1P5	3	0		1972.57	18577.7	27766.3	791.241	7141.01	11100.2	15561.3	12312.4	10835.6	11777.3	8753.98	9743.33	3962.89	83388.7		2118.26			32347.5
EEF1G	1	1			168.072	508.599					1435.58		221.345									
EEF2	2	2			1613.82						14073.2	1587.5					3703.86					
EIF4A1	1	1									3515.01											
ELANE	4	4		11094.9	15005.3	2931.2	3546.22	6342.98	83982.3	28595.8	167326	978.225	2811.46				11170.2		15146.8			1243.09
ENO1	3	2			843.429	8354.64	2409.03		23997.7	6494.39	7477.42	18449.4	1781.03				1430.9	2588.5	2779.87	2019.39		
ENO3	2	2	700.053			13660.8	5607.93		5633.76	1028.04	15911.7	1477.79	5406.27				3057.76	8055.76		2588.5		
ENPEP	4	4	2404.17	10042.5	1841.17	2707.44					9289.46	4195.27	2240.65						4657.95			
ENPP2	2	2	3467				2244.39															
ENPP4	3	3	2119.95	1612.14	2033.21	3739.28	952.995	1341.9	5130.3	2830.6	5629.56	1562.88	1434.16	3364.29					3808.63	1278.25	2656.5	1033.16
ENPP7	19	18	352201	104791	25673	19685.1	72885.8	82323.3	33970.9	103503	57966.7	25136.9	83547.9	96557.1	120096	146447	48226.9	276038	25087.4	235459	98691.4	101774
EPCAM	2	2			4004.35				6251.92		4143.68	2932.85	2653.1									
EPDR1	3	3	6547.27	2149.71	1890.65	7988.71	3993.55	3874.52	2399.88	4338.92	1968.75	3945.49	3780.32	5566.77	6043.41	1811.27		8124.62	1579.45	9248.89	8417.01	5978.79
EPS8	1	1			323.78		99.9731				206.08		439.567		5496.24	740.551	744.178		92.1977			
EPX	18	18		2161.24	8498.99	2833.83	1647.18		5245.32	4302.42	33174.2	994.304	1740.16				20461.8	4365	7712.85	2242.26		2569.25
FABP1	2	1			6548.55	33945.2	3941.19				12607.4	27740.9	7578.96	1189.25	48925.6	10579.7	20722.1					
FABP6	1	1			364.465						1031.12	5674.66	4198.09									
FAHD1	1	1							8271.24													
FBN1	1	1							1320.59		2274.24									4109.09		
